,ts,id,Gx,Gy,Gz,Ax,Ay,Az,T,P
0,-0.331,IMU0,0.008762266577743903,0.008178115472560976,0.002920755525914634,-0.0005519771575927735,0.009505233764648438,-0.0004116439819335938,,
14,-0.331,BARO3,,,,,,,2131.0,98047.0
13,-0.331,BARO3,,,,,,,2131.0,98044.0
12,-0.331,BARO2,,,,,,,2231.0,98020.0
11,-0.331,BARO1,,,,,,,2145.0,98010.0
10,-0.331,BARO0,,,,,,,2131.0,98047.0
9,-0.331,BARO0,,,,,,,2131.0,98044.0
2,-0.331,IMU2,0.0,0.0035049066310975617,-0.0017524533155487809,0.026686410575919833,0.020828069954492903,-0.027538131432391786,,
1,-0.331,IMU1,0.0,0.0035049066310975617,-0.0017524533155487809,-0.00037422180175781253,0.009561367034912109,-0.0007952213287353516,,
17,-0.321,BARO0,,,,,,,2131.0,98053.0
5,-0.321,IMU2,0.0,0.0046732088414634144,-0.0023366044207317072,0.026644356154393978,0.02084124022837105,-0.027512733749473727,,
4,-0.321,IMU1,0.0,0.0046732088414634144,-0.0023366044207317072,-0.0003648662567138672,0.009570722579956056,-0.0008139324188232422,,
3,-0.321,IMU0,0.008762266577743903,0.006425662157012196,0.0023366044207317072,-0.0005519771575927735,0.009505233764648438,-0.0004209995269775391,,
15,-0.321,BARO1,,,,,,,2145.0,98004.0
16,-0.321,BARO2,,,,,,,2230.0,98022.0
18,-0.321,BARO3,,,,,,,2131.0,98053.0
7,-0.311,IMU1,-0.0005841511051829263,0.006425662157012196,-0.0023366044207317072,-0.0003555107116699219,0.009561367034912109,-0.000804576873779297,,
8,-0.311,IMU2,-0.0005841511051829263,0.006425662157012196,-0.0023366044207317072,0.026647321226986605,0.02097694267604268,-0.027593203017498725,,
6,-0.311,IMU0,0.010514719893292685,0.00584151105182927,0.0023366044207317072,-0.0005426216125488281,0.009514589309692383,-0.0004022884368896485,,
